Classification,ID,Brand,Price,DateAvail,Notes
S,POX9A,Samsung Galaxy S9,908.45,1/1/2019,1.78
S,POX9A,Samsung Galaxy S8,888.88,1/1/2019,1.78
S,63QWA,Apple iPhone 6,124.16,1/31/2019,1.37
S,952CH,Samsung Galaxy S10,1072.63,2/2/2019,2.50
S,3MN0N,Apple iPhone 6,397.24,2/10/2019,2.27
S,0PV57,Apple iPhone 6s,469.43,3/2/2019,2.74
S,T88XU,Apple iPhone 7,551.16,3/3/2019,2.78
S,D0004,Samsung Galaxy S9+,957.13,3/24/2019,2.93
S,87952,Apple iPhone 6s,29.11,4/22/2019,1.11
S,0U62X,Apple iPhone 7s,471.57,5/2/2019,1.13
S,V4W3F,Samsung Galaxy S10,746.50,5/6/2019,1.96
W,61QP1,VTech CS6114,772.32,1/1/2018,43.56
W,400LG,Panasonic KX-TGC352B,701.23,1/1/2018,210.41
W,400LG,Panasonic KX-TGC352B,701.23,1/1/2018,210.41
W,YN5QN,Panasonic KX-TGC352B,585.36,1/1/2018,279.88
W,UT282,AT&T EL51200,744.87,1/1/2018,11.63
W,I95L0,VTech CS6929,900.27,1/1/2018,239.63
IP,L3L79,Cisco 7940,1027.12,1/1/2018,SIP
IP,6U638,Cisco 7961 G,205.48,1/1/2018,MGCP
IP,899R0,Polycom VVX411,795.59,1/1/2018,RTP
IP,FDLR5,Cisco 8811 VoIP,108.84,1/1/2018,RTCP
IP,8OR82,Cisco 8811 VoIP,1065.47,1/1/2018,SDP
IP,4GP0Z,Ooma Telo,500.31,1/1/2018,IAX
IP,W8DO9,Cisco 7961 G,172.46,1/1/2018,SIP
